shapeid	ID_0	ISO	NAME_0	ID_1	NAME_1	ID_2	NAME_2	HASC_2	CCN_2	CCA_2	TYPE_2	ENGTYPE_2	NL_NAME_2	VARNAME_2
0	105	IND	India	7	Chhattisgarh	101	Baloda Bazar	NULL	0	NULL	District	District	NULL	NULL
1	105	IND	India	7	Chhattisgarh	102	Balod	NULL	0	NULL	District	District	NULL	NULL
2	105	IND	India	7	Chhattisgarh	103	Balrampur	IN.CT.BP	0	NULL	District	District	NULL	NULL
3	105	IND	India	7	Chhattisgarh	104	Bastar	IN.CT.BT	0	NULL	District	District	NULL	Baster
4	105	IND	India	7	Chhattisgarh	105	Bemetara	NULL	0	NULL	District	District	NULL	NULL
5	105	IND	India	7	Chhattisgarh	106	Bijapur	IN.CT.BJ	0	NULL	District	District	NULL	NULL
6	105	IND	India	7	Chhattisgarh	107	Bilaspur	IN.CT.BI	0	NULL	District	District	NULL	NULL
8	105	IND	India	7	Chhattisgarh	108	Dantewada	IN.CT.DW	0	NULL	District	District	NULL	NULL
9	105	IND	India	7	Chhattisgarh	109	Dhamtari	IN.CT.DH	0	NULL	District	District	NULL	NULL
10	105	IND	India	7	Chhattisgarh	110	Durg	IN.CT.DU	0	NULL	District	District	NULL	NULL
11	105	IND	India	7	Chhattisgarh	111	Gariyaband	NULL	0	NULL	District	District	NULL	NULL
12	105	IND	India	7	Chhattisgarh	112	Janjgir-Champa	IN.CT.JC	0	NULL	District	District	NULL	Janjgir
13	105	IND	India	7	Chhattisgarh	113	Jashpur	IN.CT.JA	0	NULL	District	District	NULL	NULL
14	105	IND	India	7	Chhattisgarh	114	Kawardha	NULL	0	NULL	District	District	NULL	Kabirdham|Kabeerdham
15	105	IND	India	7	Chhattisgarh	115	Kondagaon	NULL	0	NULL	District	District	NULL	<Null>
16	105	IND	India	7	Chhattisgarh	116	Korba	IN.CT.KB	0	NULL	District	District	NULL	NULL
17	105	IND	India	7	Chhattisgarh	117	Koriya	IN.CT.KJ	0	NULL	District	District	NULL	NULL
18	105	IND	India	7	Chhattisgarh	118	Mahasamund	IN.CT.MA	0	NULL	District	District	NULL	NULL
19	105	IND	India	7	Chhattisgarh	119	Mungeli	IN.CT.MG	0	NULL	District	District	NULL	NULL
20	105	IND	India	7	Chhattisgarh	120	Narayanpur	IN.CT.NA	0	NULL	District	District	NULL	<Null>
21	105	IND	India	7	Chhattisgarh	121	Raigarh	IN.CT.RG	0	NULL	District	District	NULL	NULL
22	105	IND	India	7	Chhattisgarh	122	Raipur	IN.CT.RP	0	NULL	District	District	NULL	NULL
23	105	IND	India	7	Chhattisgarh	123	Rajnandgaon	IN.CT.RN	0	NULL	District	District	NULL	NULL
24	105	IND	India	7	Chhattisgarh	124	Sukma	NULL	0	NULL	District	District	NULL	NULL
25	105	IND	India	7	Chhattisgarh	125	Surajpur	NULL	0	NULL	District	District	NULL	NULL
26	105	IND	India	7	Chhattisgarh	126	Surguja	IN.CT.SU	0	NULL	District	District	NULL	NULL
27	105	IND	India	7	Chhattisgarh	127	Kanker	NULL	0	NULL	District	District	NULL	NULL
